match_id,radiant_win,first_blood_time,dire_score,radiant_score,barracks_status_dire,barracks_status_radiant,tower_status_dire,tower_status_radiant,throw,comeback,loss,win
3703959697,False,0,29,21,63,48,1956,1792,,2074,,
3704076062,False,128,30,15,63,49,1846,1920,,610,,
3704183534,False,42,34,16,63,48,1974,1792,,550,,
3704280890,True,282,16,34,51,63,454,1830,3527,,11973,
3710610589,True,288,9,25,63,63,1828,1975,926,,18662,
3710659933,False,15,34,22,63,51,1972,262,,0,,
3710771742,True,2,24,35,3,63,1540,1572,616,,13453,
3710846471,False,172,34,15,63,0,1982,1536,,100,,
3710951598,True,129,35,30,0,63,1536,1844,973,,8908,
3711037338,False,93,36,20,63,63,2046,1828,,25,,
3712282967,False,128,23,11,63,47,1972,1572,,47,,
3712338559,True,370,21,44,0,0,0,0,17402,,34215,
3712487457,True,0,12,31,59,63,1796,1983,1431,,19270,
3712573013,True,189,25,28,0,63,1024,1591,370,,10536,
3712656854,True,0,13,27,48,63,1536,1852,-255,,22233,
3712778240,False,0,29,16,63,2,1958,1536,,1179,,
3712904364,True,0,16,36,48,63,768,1846,1031,,24565,
3713023478,False,91,25,25,63,11,1830,6,,1209,,
3713946952,True,34,13,19,0,63,1536,1588,277,,21399,
3714008269,False,11,30,25,63,2,1828,1536,,0,,
3714117760,True,74,23,47,48,63,256,1798,0,,23724,
3714224218,False,0,33,20,63,2,1958,1536,,-354,,
3714317072,True,116,21,36,43,63,1540,1830,2553,,23970,
3714460796,True,409,1,22,48,63,1920,1974,0,,31766,
3714549210,True,187,31,29,51,11,260,1540,11593,,3442,
3714669164,False,208,42,26,63,2,1968,1536,,102,,
3714829316,False,100,29,11,63,0,1974,512,,450,,
3714953219,False,11,29,13,63,15,1956,0,,620,,
3715113464,False,152,31,11,63,3,2046,1540,,822,,
3715991149,False,12,21,6,63,14,2039,1568,,681,,
3716044674,True,149,35,36,0,3,0,512,14168,,6340,
3716172156,False,97,26,8,63,15,2036,1572,,658,,
3716269301,True,0,37,38,15,11,36,1540,8266,,9704,
3716503818,True,163,34,44,0,48,0,0,2323,,25681,
3716642134,True,213,5,11,35,63,1540,1983,,,,
3716722821,True,130,13,26,51,63,1920,1854,60,,14388,
3716818051,False,83,29,18,63,48,1972,1792,,2282,,
3743740299,False,163,32,17,60,0,1592,0,,0,,
3743753906,False,93,27,25,63,0,1572,0,,9470,,
3743825941,False,0,29,17,63,51,1844,390,,6945,,
3743877987,True,112,15,32,48,63,1792,1846,0,,25825,
3743930304,True,0,9,24,0,63,512,1844,0,,20777,
3743984381,True,157,13,24,3,63,516,1854,1795,,10331,
3744068304,True,48,8,12,0,63,1536,1983,133,,17586,
3744092341,True,277,25,26,13,63,32,1926,997,,5461,
3744175111,False,0,38,7,63,35,2046,1536,,-251,,
3744215830,True,66,23,21,59,47,4,1588,5416,,3058,
3744260553,False,138,18,19,63,0,1926,1536,,96,,
3744321987,False,187,37,19,63,60,1974,1792,,0,,
3744340908,True,144,20,38,3,63,1536,1590,1106,,16224,
3744407716,True,78,15,38,48,63,1792,1974,329,,17437,
3744421491,False,33,31,13,63,35,2036,1540,,792,,
3744481509,True,5,12,27,0,63,1536,1982,785,,29444,
3744484565,True,119,23,33,51,15,4,1574,1215,,15671,
3744526729,False,11,35,30,63,3,1956,1542,,3016,,
3745245550,True,198,10,14,15,63,1542,1974,1465,,5996,
3745246720,True,14,12,20,51,63,1920,1852,100,,7124,
3745305291,False,188,39,18,63,0,1572,1536,,563,,
3745319965,False,0,24,11,63,2,1972,1536,,249,,
3745418286,False,150,20,9,63,8,1972,1536,,1472,,
3745429518,False,87,28,20,63,51,1830,390,,5762,,
3745527313,True,176,23,34,48,63,1920,1846,2277,,6524,
3745532996,False,59,28,30,29,51,1568,774,,12791,,
3745654838,False,152,24,19,63,0,1972,0,,840,,
3745657452,False,105,31,5,63,63,2047,1572,,690,,
3745732943,True,267,23,22,32,63,1536,1831,4960,,7169,
3745760706,True,230,8,35,44,63,1584,1846,0,,15826,
3745813369,True,272,16,36,51,63,1926,1828,8342,,3577,
3745831943,False,68,24,31,63,3,1828,1536,,11470,,
3746810544,True,76,12,20,3,62,1536,1840,0,,12242,
